backend,category,shape,threads,original_cpu,lab_cpu,original_total_ms,lab_total_ms,lab_speedup_x,lab_latency_difference_percent,original_gflops,lab_gflops,original_cv_percent,lab_cv_percent,lab_active_threads_mode,original_schedule,lab_schedule,winner
T-MAC W2A16,Large Square,4096x4096x4096,1,Intel Core Ultra 7 258V,AMD Ryzen 5 8500G,1664.725245,1042.993979,1.596102,-37.347380,82.559542,131.773487,6.020187,0.526805,1,"unstable: mode bm=128,bn=16,kfactor=16 (2/5), 4 schedules","stable: bm=256,bn=16,kfactor=16 (5/5), 1 schedule(s)",AMD Ryzen 5 8500G
T-MAC W2A16,Large Square,4096x4096x4096,2,Intel Core Ultra 7 258V,AMD Ryzen 5 8500G,735.940318,789.777033,0.931833,7.315364,186.752852,174.022474,2.097024,0.521983,2,"mostly stable: bm=256,bn=32,kfactor=16 (3/5), 3 schedules","stable: bm=256,bn=16,kfactor=16 (5/5), 1 schedule(s)",Intel Core Ultra 7 258V
T-MAC W2A16,Large Square,4096x4096x4096,4,Intel Core Ultra 7 258V,AMD Ryzen 5 8500G,381.560458,369.752552,1.031935,-3.094636,360.202297,371.705219,1.004405,0.203874,4,"mostly stable: bm=256,bn=16,kfactor=16 (3/5), 3 schedules","mostly stable: bm=256,bn=16,kfactor=16 (3/5), 3 schedule(s)",AMD Ryzen 5 8500G
T-MAC W2A16,Large Square,4096x4096x4096,8,Intel Core Ultra 7 258V,AMD Ryzen 5 8500G,320.573850,360.971359,0.888087,12.601623,428.727900,380.747530,3.539756,0.390835,8,"unstable: mode bm=512,bn=16,kfactor=16 (1/5), 5 schedules","stable: bm=128,bn=16,kfactor=16 (5/5), 1 schedule(s)",Intel Core Ultra 7 258V
T-MAC W2A16,Large Square,4096x4096x4096,16,Intel Core Ultra 7 258V,AMD Ryzen 5 8500G,435.729368,274.715019,1.586114,-36.952834,315.422745,500.296467,7.436066,0.152980,16,"unstable: mode bm=512,bn=64,kfactor=16 (1/5), 5 schedules","mostly stable: bm=128,bn=16,kfactor=16 (4/5), 2 schedule(s)",AMD Ryzen 5 8500G
T-MAC W2A16,Rectangular,4096x1024x2048,1,Intel Core Ultra 7 258V,AMD Ryzen 5 8500G,184.947226,133.340368,1.387031,-27.903559,92.890656,128.842221,10.983623,0.414485,1,"unstable: mode bm=512,bn=16,kfactor=16 (2/5), 4 schedules","mostly stable: bm=256,bn=16,kfactor=16 (3/5), 3 schedule(s)",AMD Ryzen 5 8500G
T-MAC W2A16,Rectangular,4096x1024x2048,2,Intel Core Ultra 7 258V,AMD Ryzen 5 8500G,91.515319,100.290009,0.912507,9.588220,187.726704,171.301901,1.110032,0.283948,2,"unstable: mode bm=1024,bn=16,kfactor=16 (2/5), 4 schedules","unstable: bm=512,bn=64,kfactor=16 (2/5), 4 schedule(s)",Intel Core Ultra 7 258V
T-MAC W2A16,Rectangular,4096x1024x2048,4,Intel Core Ultra 7 258V,AMD Ryzen 5 8500G,49.083188,47.336194,1.036906,-3.559251,350.015349,362.933048,6.268240,0.751377,4,"unstable: mode bm=256,bn=32,kfactor=16 (2/5), 4 schedules","unstable: bm=512,bn=64,kfactor=16 (2/5), 4 schedule(s)",AMD Ryzen 5 8500G
T-MAC W2A16,Rectangular,4096x1024x2048,8,Intel Core Ultra 7 258V,AMD Ryzen 5 8500G,45.986719,45.636620,1.007671,-0.761305,373.583277,376.449202,5.755886,0.344438,8,"unstable: mode bm=512,bn=32,kfactor=16 (1/5), 5 schedules","mostly stable: bm=256,bn=16,kfactor=16 (4/5), 2 schedule(s)",AMD Ryzen 5 8500G
T-MAC W2A16,Rectangular,4096x1024x2048,16,Intel Core Ultra 7 258V,AMD Ryzen 5 8500G,43.477866,35.718659,1.217231,-17.846338,395.140580,480.977441,6.181793,0.735429,16,"unstable: mode bm=1024,bn=8,kfactor=16 (2/5), 4 schedules","mostly stable: bm=256,bn=64,kfactor=16 (4/5), 2 schedule(s)",AMD Ryzen 5 8500G
T-MAC W2A16,Medium Rectangular,1024x1024x512,1,Intel Core Ultra 7 258V,AMD Ryzen 5 8500G,12.618232,8.418207,1.498922,-33.285368,85.094475,127.549943,33.768598,0.304758,1,"mostly stable: bm=256,bn=8,kfactor=16 (4/5), 2 schedules","unstable: bm=256,bn=64,kfactor=16 (1/5), 5 schedule(s)",AMD Ryzen 5 8500G
T-MAC W2A16,Medium Rectangular,1024x1024x512,2,Intel Core Ultra 7 258V,AMD Ryzen 5 8500G,6.804307,6.442763,1.056116,-5.313458,157.803260,166.658594,37.992358,0.436641,2,"unstable: mode bm=256,bn=64,kfactor=16 (2/5), 4 schedules","unstable: bm=256,bn=32,kfactor=16 (2/5), 3 schedule(s)",AMD Ryzen 5 8500G
T-MAC W2A16,Medium Rectangular,1024x1024x512,4,Intel Core Ultra 7 258V,AMD Ryzen 5 8500G,4.185023,3.284623,1.274126,-21.514816,256.567724,326.899563,37.938305,0.132714,4,"unstable: mode bm=1024,bn=32,kfactor=16 (1/5), 5 schedules","mostly stable: bm=256,bn=8,kfactor=16 (3/5), 3 schedule(s)",AMD Ryzen 5 8500G
T-MAC W2A16,Medium Rectangular,1024x1024x512,8,Intel Core Ultra 7 258V,AMD Ryzen 5 8500G,4.609484,3.320383,1.388239,-27.966276,232.941870,323.378907,45.180314,0.218623,8,"unstable: mode bm=256,bn=8,kfactor=16 (1/5), 5 schedules","unstable: bm=128,bn=16,kfactor=16 (2/5), 4 schedule(s)",AMD Ryzen 5 8500G
T-MAC W2A16,Medium Rectangular,1024x1024x512,16,Intel Core Ultra 7 258V,AMD Ryzen 5 8500G,4.487577,2.744914,1.634870,-38.833050,239.269838,391.175033,9.443343,0.154319,16,"unstable: mode bm=256,bn=32,kfactor=16 (2/5), 4 schedules","mostly stable: bm=128,bn=32,kfactor=16 (3/5), 3 schedule(s)",AMD Ryzen 5 8500G
T-MAC W3A16,Small Square,256x256x256,1,Intel Core Ultra 7 258V,AMD Ryzen 5 8500G,0.650710,0.459788,1.415239,-29.340566,51.565877,72.978051,8.208450,0.263315,1,"unstable: mode bm=768,bn=16,kfactor=16 (2/5), 3 schedules","unstable: bm=192,bn=64,kfactor=16 (2/5), 4 schedule(s)",AMD Ryzen 5 8500G
T-MAC W3A16,Small Square,256x256x256,2,Intel Core Ultra 7 258V,AMD Ryzen 5 8500G,0.394522,0.359716,1.096760,-8.822322,85.050851,93.280343,33.842711,0.214244,2,"unstable: mode bm=384,bn=8,kfactor=16 (2/5), 4 schedules","mostly stable: bm=192,bn=64,kfactor=16 (3/5), 3 schedule(s)",AMD Ryzen 5 8500G
T-MAC W3A16,Small Square,256x256x256,4,Intel Core Ultra 7 258V,AMD Ryzen 5 8500G,0.448772,0.207024,2.167729,-53.868780,74.769442,162.079913,20.597965,0.478094,4,"unstable: mode bm=384,bn=32,kfactor=16 (1/5), 5 schedules","mostly stable: bm=192,bn=64,kfactor=16 (3/5), 3 schedule(s)",AMD Ryzen 5 8500G
T-MAC W3A16,Small Square,256x256x256,8,Intel Core Ultra 7 258V,AMD Ryzen 5 8500G,0.379619,0.208994,1.816411,-44.946380,88.389759,160.552131,21.225808,0.489818,4,"mostly stable: bm=384,bn=64,kfactor=16 (3/5), 2 schedules","stable: bm=192,bn=64,kfactor=16 (5/5), 1 schedule(s)",AMD Ryzen 5 8500G
T-MAC W3A16,Small Square,256x256x256,16,Intel Core Ultra 7 258V,AMD Ryzen 5 8500G,0.380427,0.213594,1.781075,-43.854143,88.202026,157.094450,16.133226,7.412158,16,"mostly stable: bm=384,bn=64,kfactor=16 (3/5), 3 schedules","mostly stable: bm=384,bn=16,kfactor=16 (3/5), 3 schedule(s)",AMD Ryzen 5 8500G
T-MAC W3A16,Medium Square,1024x1024x1024,1,Intel Core Ultra 7 258V,AMD Ryzen 5 8500G,33.349888,24.440586,1.364529,-26.714638,64.392530,87.865473,6.225097,4.842092,1,"unstable: mode bm=768,bn=64,kfactor=16 (2/5), 4 schedules","unstable: bm=384,bn=8,kfactor=16 (2/5), 4 schedule(s)",AMD Ryzen 5 8500G
T-MAC W3A16,Medium Square,1024x1024x1024,2,Intel Core Ultra 7 258V,AMD Ryzen 5 8500G,17.684426,18.704714,0.945453,5.769415,121.433608,114.809756,2.688695,0.386340,2,"unstable: mode bm=768,bn=8,kfactor=16 (2/5), 4 schedules","unstable: bm=192,bn=16,kfactor=16 (2/5), 4 schedule(s)",Intel Core Ultra 7 258V
T-MAC W3A16,Medium Square,1024x1024x1024,4,Intel Core Ultra 7 258V,AMD Ryzen 5 8500G,10.349298,9.157900,1.130095,-11.511873,207.500417,234.495206,6.458013,0.350923,4,"unstable: mode bm=768,bn=32,kfactor=16 (2/5), 4 schedules","unstable: bm=384,bn=16,kfactor=16 (2/5), 3 schedule(s)",AMD Ryzen 5 8500G
T-MAC W3A16,Medium Square,1024x1024x1024,8,Intel Core Ultra 7 258V,AMD Ryzen 5 8500G,13.067544,9.266275,1.410226,-29.089391,164.337204,231.752635,19.378051,0.196781,8,"unstable: mode bm=768,bn=16,kfactor=16 (2/5), 4 schedules","unstable: bm=384,bn=64,kfactor=16 (1/5), 5 schedule(s)",AMD Ryzen 5 8500G
T-MAC W3A16,Medium Square,1024x1024x1024,16,Intel Core Ultra 7 258V,AMD Ryzen 5 8500G,10.281066,7.717369,1.332198,-24.936101,208.877528,278.266291,6.790874,2.734831,16,"unstable: mode bm=768,bn=32,kfactor=16 (2/5), 3 schedules","unstable: bm=192,bn=8,kfactor=16 (2/5), 4 schedule(s)",AMD Ryzen 5 8500G
T-MAC W3A16,Large Square,4096x4096x4096,1,Intel Core Ultra 7 258V,AMD Ryzen 5 8500G,2262.284820,1525.537472,1.482943,-32.566516,60.752277,90.092152,26.376511,0.468809,1,"unstable: mode bm=192,bn=64,kfactor=16 (1/5), 5 schedules","mostly stable: bm=384,bn=16,kfactor=16 (3/5), 3 schedule(s)",AMD Ryzen 5 8500G
T-MAC W3A16,Large Square,4096x4096x4096,2,Intel Core Ultra 7 258V,AMD Ryzen 5 8500G,1119.598873,1155.878909,0.968613,3.240449,122.757317,118.904283,6.761704,0.360070,2,"unstable: mode bm=192,bn=8,kfactor=16 (2/5), 4 schedules","unstable: bm=192,bn=8,kfactor=16 (2/5), 4 schedule(s)",Intel Core Ultra 7 258V
T-MAC W3A16,Large Square,4096x4096x4096,4,Intel Core Ultra 7 258V,AMD Ryzen 5 8500G,631.802582,535.192432,1.180515,-15.291193,217.534650,256.802872,7.635158,1.573727,4,"mostly stable: bm=192,bn=32,kfactor=16 (3/5), 3 schedules","mostly stable: bm=384,bn=16,kfactor=16 (3/5), 3 schedule(s)",AMD Ryzen 5 8500G
T-MAC W3A16,Large Square,4096x4096x4096,8,Intel Core Ultra 7 258V,AMD Ryzen 5 8500G,529.392155,527.235345,1.004091,-0.407413,259.616528,260.678566,9.316266,0.359485,8,"unstable: mode bm=192,bn=64,kfactor=16 (2/5), 4 schedules","mostly stable: bm=192,bn=16,kfactor=16 (3/5), 2 schedule(s)",AMD Ryzen 5 8500G
T-MAC W3A16,Large Square,4096x4096x4096,16,Intel Core Ultra 7 258V,AMD Ryzen 5 8500G,599.434801,398.961016,1.502490,-33.443802,229.280905,344.492188,10.615478,0.210017,16,"unstable: mode bm=192,bn=16,kfactor=16 (1/5), 5 schedules","mostly stable: bm=192,bn=16,kfactor=16 (3/5), 2 schedule(s)",AMD Ryzen 5 8500G
T-MAC W3A16,Rectangular,4096x1024x2048,1,Intel Core Ultra 7 258V,AMD Ryzen 5 8500G,275.046955,190.971060,1.440255,-30.567833,62.461587,89.960590,17.150402,0.594417,1,"mostly stable: bm=384,bn=64,kfactor=16 (4/5), 2 schedules","mostly stable: bm=192,bn=32,kfactor=16 (4/5), 2 schedule(s)",AMD Ryzen 5 8500G
T-MAC W3A16,Rectangular,4096x1024x2048,2,Intel Core Ultra 7 258V,AMD Ryzen 5 8500G,131.710203,143.352917,0.918783,8.839645,130.436889,119.843178,2.826285,0.549811,2,"unstable: mode bm=192,bn=16,kfactor=16 (1/5), 5 schedules","mostly stable: bm=192,bn=32,kfactor=16 (4/5), 2 schedule(s)",Intel Core Ultra 7 258V
T-MAC W3A16,Rectangular,4096x1024x2048,4,Intel Core Ultra 7 258V,AMD Ryzen 5 8500G,73.906900,67.211462,1.099618,-9.059287,232.452845,255.609217,9.382422,0.847018,4,"unstable: mode bm=384,bn=8,kfactor=16 (2/5), 4 schedules","mostly stable: bm=192,bn=32,kfactor=16 (3/5), 3 schedule(s)",AMD Ryzen 5 8500G
T-MAC W3A16,Rectangular,4096x1024x2048,8,Intel Core Ultra 7 258V,AMD Ryzen 5 8500G,73.204279,66.219955,1.105472,-9.540869,234.683948,259.436437,12.725074,0.174060,8,"unstable: mode bm=384,bn=64,kfactor=16 (1/5), 5 schedules","mostly stable: bm=192,bn=16,kfactor=16 (4/5), 2 schedule(s)",AMD Ryzen 5 8500G
T-MAC W3A16,Rectangular,4096x1024x2048,16,Intel Core Ultra 7 258V,AMD Ryzen 5 8500G,66.658447,50.788347,1.312475,-23.808085,257.729815,338.263996,11.192004,0.838249,16,"unstable: mode bm=192,bn=8,kfactor=16 (2/5), 4 schedules","unstable: bm=384,bn=8,kfactor=16 (1/5), 5 schedule(s)",AMD Ryzen 5 8500G
T-MAC W3A16,Medium Rectangular,1024x1024x512,1,Intel Core Ultra 7 258V,AMD Ryzen 5 8500G,17.832168,12.423117,1.435402,-30.333109,60.213757,86.430952,20.330907,0.173822,1,"unstable: mode bm=768,bn=64,kfactor=16 (2/5), 4 schedules","mostly stable: bm=768,bn=16,kfactor=16 (3/5), 3 schedule(s)",AMD Ryzen 5 8500G
T-MAC W3A16,Medium Rectangular,1024x1024x512,2,Intel Core Ultra 7 258V,AMD Ryzen 5 8500G,9.470799,9.499478,0.996981,0.302815,113.373943,113.031666,7.720804,0.299154,2,"unstable: mode bm=768,bn=32,kfactor=16 (1/5), 5 schedules","unstable: bm=768,bn=16,kfactor=16 (1/5), 5 schedule(s)",Intel Core Ultra 7 258V
T-MAC W3A16,Medium Rectangular,1024x1024x512,4,Intel Core Ultra 7 258V,AMD Ryzen 5 8500G,5.902071,4.643847,1.270944,-21.318347,181.926280,231.218174,14.111618,0.239048,4,"mostly stable: bm=768,bn=16,kfactor=16 (3/5), 3 schedules","mostly stable: bm=768,bn=32,kfactor=16 (3/5), 2 schedule(s)",AMD Ryzen 5 8500G
T-MAC W3A16,Medium Rectangular,1024x1024x512,8,Intel Core Ultra 7 258V,AMD Ryzen 5 8500G,6.237089,4.674270,1.334345,-25.056865,172.154321,229.713265,15.482549,0.272679,8,"unstable: mode bm=768,bn=64,kfactor=16 (2/5), 4 schedules","unstable: bm=192,bn=16,kfactor=16 (2/5), 3 schedule(s)",AMD Ryzen 5 8500G
T-MAC W3A16,Medium Rectangular,1024x1024x512,16,Intel Core Ultra 7 258V,AMD Ryzen 5 8500G,5.692750,3.791776,1.501341,-33.392894,188.615664,283.176491,12.063026,0.478260,16,"unstable: mode bm=384,bn=64,kfactor=16 (1/5), 5 schedules","unstable: bm=384,bn=64,kfactor=16 (1/5), 5 schedule(s)",AMD Ryzen 5 8500G
T-MAC W4A16,Small Square,256x256x256,1,Intel Core Ultra 7 258V,AMD Ryzen 5 8500G,0.853521,0.580571,1.470141,-31.979295,39.312954,57.795570,12.034348,0.209160,1,"unstable: mode bm=1024,bn=32,kfactor=16 (2/5), 3 schedules","unstable: bm=128,bn=64,kfactor=16 (2/5), 4 schedule(s)",AMD Ryzen 5 8500G
T-MAC W4A16,Small Square,256x256x256,2,Intel Core Ultra 7 258V,AMD Ryzen 5 8500G,0.484518,0.455328,1.064108,-6.024544,69.253221,73.692881,11.079590,0.227674,2,"unstable: mode bm=1024,bn=64,kfactor=16 (2/5), 3 schedules","unstable: bm=512,bn=32,kfactor=16 (2/5), 4 schedule(s)",AMD Ryzen 5 8500G
T-MAC W4A16,Small Square,256x256x256,4,Intel Core Ultra 7 258V,AMD Ryzen 5 8500G,0.304221,0.249835,1.217688,-17.877135,110.296239,134.306370,12.978595,0.426258,4,"unstable: mode bm=1024,bn=32,kfactor=16 (2/5), 4 schedules","unstable: bm=128,bn=32,kfactor=16 (1/5), 5 schedule(s)",AMD Ryzen 5 8500G
T-MAC W4A16,Small Square,256x256x256,8,Intel Core Ultra 7 258V,AMD Ryzen 5 8500G,0.278925,0.253265,1.101317,-9.199606,120.299120,132.487442,9.470715,0.498464,8,"unstable: mode bm=256,bn=16,kfactor=16 (2/5), 4 schedules","unstable: bm=256,bn=64,kfactor=16 (2/5), 4 schedule(s)",AMD Ryzen 5 8500G
T-MAC W4A16,Small Square,256x256x256,16,Intel Core Ultra 7 258V,AMD Ryzen 5 8500G,0.281838,0.241894,1.165130,-14.172681,119.055741,138.715437,16.928926,1.238269,16,"unstable: mode bm=128,bn=64,kfactor=16 (2/5), 4 schedules","unstable: bm=512,bn=16,kfactor=16 (2/5), 4 schedule(s)",AMD Ryzen 5 8500G
T-MAC W4A16,Medium Square,1024x1024x1024,1,Intel Core Ultra 7 258V,AMD Ryzen 5 8500G,49.687122,31.985418,1.553430,-35.626342,43.220125,67.139459,12.345937,0.355542,1,"unstable: mode bm=1024,bn=8,kfactor=16 (2/5), 4 schedules","unstable: bm=128,bn=64,kfactor=16 (2/5), 3 schedule(s)",AMD Ryzen 5 8500G
T-MAC W4A16,Medium Square,1024x1024x1024,2,Intel Core Ultra 7 258V,AMD Ryzen 5 8500G,21.069338,24.275236,0.867935,15.215941,101.924591,88.463966,14.081676,0.236351,2,"unstable: mode bm=128,bn=32,kfactor=16 (2/5), 4 schedules","stable: bm=128,bn=64,kfactor=16 (5/5), 1 schedule(s)",Intel Core Ultra 7 258V
T-MAC W4A16,Medium Square,1024x1024x1024,4,Intel Core Ultra 7 258V,AMD Ryzen 5 8500G,13.361271,11.834163,1.129042,-11.429362,160.724504,181.464768,17.991982,1.042667,4,"unstable: mode bm=128,bn=32,kfactor=16 (1/5), 5 schedules","stable: bm=128,bn=64,kfactor=16 (5/5), 1 schedule(s)",AMD Ryzen 5 8500G
T-MAC W4A16,Medium Square,1024x1024x1024,8,Intel Core Ultra 7 258V,AMD Ryzen 5 8500G,13.124263,11.835765,1.108865,-9.817679,163.626990,181.440207,19.132889,0.213558,8,"unstable: mode bm=256,bn=8,kfactor=16 (2/5), 4 schedules","mostly stable: bm=128,bn=32,kfactor=16 (3/5), 2 schedule(s)",AMD Ryzen 5 8500G
T-MAC W4A16,Medium Square,1024x1024x1024,16,Intel Core Ultra 7 258V,AMD Ryzen 5 8500G,12.314391,9.646320,1.276590,-21.666285,174.388132,222.622062,18.890500,1.405167,16,"unstable: mode bm=128,bn=16,kfactor=16 (1/5), 5 schedules","mostly stable: bm=128,bn=8,kfactor=16 (3/5), 3 schedule(s)",AMD Ryzen 5 8500G
T-MAC W4A16,Large Square,4096x4096x4096,1,Intel Core Ultra 7 258V,AMD Ryzen 5 8500G,2230.487506,2094.387532,1.064983,-6.101804,61.618347,65.622504,4.522982,0.204627,1,"mostly stable: bm=128,bn=64,kfactor=16 (3/5), 3 schedules","stable: bm=256,bn=64,kfactor=16 (5/5), 1 schedule(s)",AMD Ryzen 5 8500G
T-MAC W4A16,Large Square,4096x4096x4096,2,Intel Core Ultra 7 258V,AMD Ryzen 5 8500G,1387.305945,1590.032280,0.872502,14.612951,99.068957,86.437839,7.046020,0.914005,2,"unstable: mode bm=256,bn=8,kfactor=16 (2/5), 4 schedules","mostly stable: bm=256,bn=64,kfactor=16 (3/5), 3 schedule(s)",Intel Core Ultra 7 258V
T-MAC W4A16,Large Square,4096x4096x4096,4,Intel Core Ultra 7 258V,AMD Ryzen 5 8500G,826.430887,735.157922,1.124154,-11.044234,166.304231,186.951605,13.169446,0.149094,4,"unstable: mode bm=256,bn=64,kfactor=16 (2/5), 4 schedules","mostly stable: bm=256,bn=64,kfactor=16 (3/5), 3 schedule(s)",AMD Ryzen 5 8500G
T-MAC W4A16,Large Square,4096x4096x4096,8,Intel Core Ultra 7 258V,AMD Ryzen 5 8500G,712.418761,703.746787,1.012323,-1.217258,192.918773,195.296030,10.592916,0.316991,8,"unstable: mode bm=256,bn=16,kfactor=16 (1/5), 5 schedules","unstable: bm=128,bn=16,kfactor=16 (2/5), 3 schedule(s)",AMD Ryzen 5 8500G
T-MAC W4A16,Large Square,4096x4096x4096,16,Intel Core Ultra 7 258V,AMD Ryzen 5 8500G,671.332637,534.600293,1.255766,-20.367302,204.725565,257.087314,11.480868,0.131161,16,"unstable: mode bm=128,bn=32,kfactor=16 (2/5), 3 schedules","stable: bm=128,bn=16,kfactor=16 (5/5), 1 schedule(s)",AMD Ryzen 5 8500G
T-MAC W4A16,Rectangular,4096x1024x2048,1,Intel Core Ultra 7 258V,AMD Ryzen 5 8500G,273.531722,261.730782,1.045088,-4.314286,62.807593,65.639468,4.112941,0.780460,1,"mostly stable: bm=128,bn=64,kfactor=16 (3/5), 3 schedules","mostly stable: bm=512,bn=32,kfactor=16 (4/5), 2 schedule(s)",AMD Ryzen 5 8500G
T-MAC W4A16,Rectangular,4096x1024x2048,2,Intel Core Ultra 7 258V,AMD Ryzen 5 8500G,173.782093,199.841624,0.869599,14.995521,98.858685,85.967422,6.441383,0.307260,2,"unstable: mode bm=256,bn=8,kfactor=16 (2/5), 4 schedules","unstable: bm=128,bn=64,kfactor=16 (2/5), 4 schedule(s)",Intel Core Ultra 7 258V
T-MAC W4A16,Rectangular,4096x1024x2048,4,Intel Core Ultra 7 258V,AMD Ryzen 5 8500G,104.054383,92.259657,1.127843,-11.335155,165.104714,186.212151,12.685781,0.517684,4,"unstable: mode bm=128,bn=32,kfactor=16 (2/5), 4 schedules","unstable: bm=512,bn=64,kfactor=16 (2/5), 3 schedule(s)",AMD Ryzen 5 8500G
T-MAC W4A16,Rectangular,4096x1024x2048,8,Intel Core Ultra 7 258V,AMD Ryzen 5 8500G,91.422475,87.337454,1.046773,-4.468290,187.917349,196.706778,7.410407,0.469646,8,"mostly stable: bm=256,bn=8,kfactor=16 (3/5), 3 schedules","stable: bm=256,bn=16,kfactor=16 (5/5), 1 schedule(s)",AMD Ryzen 5 8500G
T-MAC W4A16,Rectangular,4096x1024x2048,16,Intel Core Ultra 7 258V,AMD Ryzen 5 8500G,86.543672,67.262203,1.286661,-22.279467,198.510980,255.416392,9.878540,0.625446,16,"unstable: mode bm=1024,bn=32,kfactor=16 (1/5), 5 schedules","unstable: bm=256,bn=16,kfactor=16 (2/5), 3 schedule(s)",AMD Ryzen 5 8500G
T-MAC W4A16,Medium Rectangular,1024x1024x512,1,Intel Core Ultra 7 258V,AMD Ryzen 5 8500G,17.648935,16.375781,1.077746,-7.213772,60.838902,65.568893,7.600482,0.436593,1,"mostly stable: bm=1024,bn=64,kfactor=16 (4/5), 2 schedules","unstable: bm=256,bn=32,kfactor=16 (2/5), 4 schedule(s)",AMD Ryzen 5 8500G
T-MAC W4A16,Medium Rectangular,1024x1024x512,2,Intel Core Ultra 7 258V,AMD Ryzen 5 8500G,11.632085,12.423204,0.936319,6.801180,92.308629,86.430346,3.521475,0.311507,2,"unstable: mode bm=256,bn=8,kfactor=16 (2/5), 3 schedules","mostly stable: bm=256,bn=64,kfactor=16 (4/5), 2 schedule(s)",Intel Core Ultra 7 258V
T-MAC W4A16,Medium Rectangular,1024x1024x512,4,Intel Core Ultra 7 258V,AMD Ryzen 5 8500G,8.206064,5.991228,1.369680,-26.990236,130.847362,179.218989,6.250360,0.365026,4,"unstable: mode bm=256,bn=32,kfactor=16 (2/5), 4 schedules","mostly stable: bm=256,bn=64,kfactor=16 (3/5), 3 schedule(s)",AMD Ryzen 5 8500G
